"Frequenz (Hz)","Zeit (s)","FFT Mag (arb. unit)"
4.781250000E3,2.753021372E1,8.141833195E0
4.804687500E3,2.753021372E1,1.223286701E1
4.828125000E3,2.753021372E1,2.188472420E1
4.851562500E3,2.753021372E1,2.439246454E1
4.875000000E3,2.753021372E1,3.109622414E1
4.898437500E3,2.753021372E1,2.695682821E1
4.921875000E3,2.753021372E1,3.172475447E1
4.945312500E3,2.753021372E1,4.246431481E1
4.968750000E3,2.753021372E1,1.670840398E1
4.992187500E3,2.753021372E1,4.250739463E1
5.015625000E3,2.753021372E1,5.657916011E1
5.039062500E3,2.753021372E1,4.858281491E1
5.062500000E3,2.753021372E1,2.989733063E1
5.085937500E3,2.753021372E1,1.386639226E1
5.109375000E3,2.753021372E1,2.224909032E1
5.132812500E3,2.753021372E1,1.967602608E1
5.156250000E3,2.753021372E1,4.254333416E1
5.179687500E3,2.753021372E1,9.101915382E0
5.203125000E3,2.753021372E1,5.543832230E1
5.226562500E3,2.753021372E1,6.494971785E1
5.250000000E3,2.753021372E1,1.257263496E1
5.273437500E3,2.753021372E1,4.129702414E1
5.296875000E3,2.753021372E1,1.171999608E1
5.320312500E3,2.753021372E1,5.842092949E1
5.343750000E3,2.753021372E1,3.053601391E1
5.367187500E3,2.753021372E1,2.787061894E1
5.390625000E3,2.753021372E1,8.360902109E1
5.414062500E3,2.753021372E1,6.457667849E1
5.437500000E3,2.753021372E1,5.526543553E1
5.460937500E3,2.753021372E1,3.985762302E1
5.484375000E3,2.753021372E1,4.210385462E1
5.507812500E3,2.753021372E1,9.187109568E1
5.531250000E3,2.753021372E1,2.370467529E1
5.554687500E3,2.753021372E1,1.688729558E1
5.578125000E3,2.753021372E1,1.943399343E1
5.601562500E3,2.753021372E1,3.102341239E1
5.625000000E3,2.753021372E1,1.768067166E1
5.648437500E3,2.753021372E1,2.430920734E1
5.671875000E3,2.753021372E1,3.331636081E1
5.695312500E3,2.753021372E1,1.401666743E1
5.718750000E3,2.753021372E1,3.053560274E1
5.742187500E3,2.753021372E1,1.589998626E1
5.765625000E3,2.753021372E1,4.700692848E1
5.789062500E3,2.753021372E1,5.943971514E1
5.812500000E3,2.753021372E1,4.468889824E1
5.835937500E3,2.753021372E1,3.373132312E1
5.859375000E3,2.753021372E1,1.652384708E1
5.882812500E3,2.753021372E1,1.972431099E1
5.906250000E3,2.753021372E1,4.866599764E1
5.929687500E3,2.753021372E1,2.920549377E1
5.953125000E3,2.753021372E1,3.454473207E1
5.976562500E3,2.753021372E1,7.167163972E0
6.000000000E3,2.753021372E1,1.855635674E1
2.343750000E1,2.757288039E1,3.574142800E0
4.687500000E1,2.757288039E1,7.868120550E0
7.031250000E1,2.757288039E1,1.128552863E0
9.375000000E1,2.757288039E1,4.172567555E0
1.171875000E2,2.757288039E1,8.337116961E0
1.406250000E2,2.757288039E1,3.249327083E0
1.640625000E2,2.757288039E1,7.862755677E0
1.875000000E2,2.757288039E1,3.748383523E0
2.109375000E2,2.757288039E1,1.008603132E1
2.343750000E2,2.757288039E1,4.241619959E0
2.578125000E2,2.757288039E1,6.789442012E-1
2.812500000E2,2.757288039E1,1.225007365E0
3.046875000E2,2.757288039E1,7.111721074E0
3.281250000E2,2.757288039E1,8.839818127E0
3.515625000E2,2.757288039E1,6.963791148E0
3.750000000E2,2.757288039E1,8.233436679E0
3.984375000E2,2.757288039E1,3.840283132E0
4.218750000E2,2.757288039E1,7.250240484E0
4.453125000E2,2.757288039E1,3.504428613E0
4.687500000E2,2.757288039E1,1.351325938E1
4.921875000E2,2.757288039E1,6.329841169E0
5.156250000E2,2.757288039E1,6.501602469E0
5.390625000E2,2.757288039E1,2.220995796E1
5.625000000E2,2.757288039E1,1.468252613E1
5.859375000E2,2.757288039E1,7.978686174E0
6.093750000E2,2.757288039E1,5.849369851E0
6.328125000E2,2.757288039E1,2.506394085E0
6.562500000E2,2.757288039E1,6.692663798E0
6.796875000E2,2.757288039E1,2.774143834E0
7.031250000E2,2.757288039E1,4.766917415E0
7.265625000E2,2.757288039E1,6.678255667E0
7.500000000E2,2.757288039E1,6.216089440E0
7.734375000E2,2.757288039E1,1.141094851E1
7.968750000E2,2.757288039E1,5.126870653E0
8.203125000E2,2.757288039E1,9.250021510E0
8.437500000E2,2.757288039E1,1.211876457E1
8.671875000E2,2.757288039E1,1.470864035E0
8.906250000E2,2.757288039E1,4.799126272E0
9.140625000E2,2.757288039E1,8.726615350E0
9.375000000E2,2.757288039E1,2.567968326E0
9.609375000E2,2.757288039E1,5.449193076E0
9.843750000E2,2.757288039E1,1.793180706E1
1.007812500E3,2.757288039E1,3.827099105E0
1.031250000E3,2.757288039E1,4.168750029E0
1.054687500E3,2.757288039E1,1.528702143E1
1.078125000E3,2.757288039E1,1.567995736E1
1.101562500E3,2.757288039E1,3.224761914E1
1.125000000E3,2.757288039E1,1.448260777E1
1.148437500E3,2.757288039E1,4.998633956E0
1.171875000E3,2.757288039E1,9.334506465E0
1.195312500E3,2.757288039E1,1.164735316E1
1.218750000E3,2.757288039E1,2.100593603E0
1.242187500E3,2.757288039E1,1.315289052E1
1.265625000E3,2.757288039E1,7.252330583E0
1.289062500E3,2.757288039E1,8.568246150E0
1.312500000E3,2.757288039E1,9.708175192E0
1.335937500E3,2.757288039E1,6.730063138E0
1.359375000E3,2.757288039E1,7.445130055E0
1.382812500E3,2.757288039E1,1.124975271E1
1.406250000E3,2.757288039E1,5.006465253E0
1.429687500E3,2.757288039E1,6.337504043E0
1.453125000E3,2.757288039E1,4.237966450E0
1.476562500E3,2.757288039E1,1.570514398E1
1.500000000E3,2.757288039E1,1.603337206E1
1.523437500E3,2.757288039E1,6.897386343E0
1.546875000E3,2.757288039E1,1.803417092E1
