"Frequency (Hz)","Absolute Amplitude (a.u.)"
2.027343750E4,1.908890925E0
2.029687500E4,5.734906797E0
2.032031250E4,3.962827347E0
2.034375000E4,1.363005227E0
2.036718750E4,7.386539415E-1
2.039062500E4,1.040384623E0
2.041406250E4,2.828133213E0
2.043750000E4,5.561577410E0
2.046093750E4,5.028291539E0
2.048437500E4,4.891707559E0
2.050781250E4,2.105574355E0
2.053125000E4,3.945516774E0
2.055468750E4,1.728230171E0
2.057812500E4,2.891750779E0
2.060156250E4,1.295644354E0
2.062500000E4,3.808622006E0
2.064843750E4,1.571221802E0
2.067187500E4,9.275850009E-1
2.069531250E4,1.341968162E0
2.071875000E4,4.332450168E0
2.074218750E4,2.326214902E0
2.076562500E4,4.281644109E0
2.078906250E4,8.266687527E-1
2.081250000E4,6.905176112E-1
2.083593750E4,4.465619317E-1
2.085937500E4,1.691442779E0
2.088281250E4,4.623957418E0
2.090625000E4,2.467198690E0
2.092968750E4,3.039451465E0
2.095312500E4,2.623665042E0
2.097656250E4,5.158665466E-1
2.100000000E4,3.006318061E0
2.102343750E4,1.533861567E0
2.104687500E4,1.616471231E0
2.107031250E4,3.401409879E0
2.109375000E4,1.697820989E0
2.111718750E4,4.629167540E-1
2.114062500E4,1.624341802E0
2.116406250E4,1.835313604E0
2.118750000E4,2.103864945E0
2.121093750E4,2.847319568E-1
2.123437500E4,2.937478474E0
2.125781250E4,2.500903689E0
2.128125000E4,4.555337416E-1
2.130468750E4,3.270398091E0
2.132812500E4,2.248221095E0
2.135156250E4,2.489662135E0
2.137500000E4,6.543981065E-1
2.139843750E4,4.014351926E0
2.142187500E4,1.618559315E0
2.144531250E4,1.024548305E0
2.146875000E4,3.667628281E0
2.149218750E4,1.282364354E0
2.151562500E4,2.575861133E0
2.153906250E4,5.093237815E-1
2.156250000E4,8.171378676E-1
2.158593750E4,3.798175878E0
2.160937500E4,2.610751957E0
2.163281250E4,4.613444554E0
2.165625000E4,2.180305698E0
2.167968750E4,9.980957138E-1
2.170312500E4,3.554676376E0
2.172656250E4,1.282004142E0
2.175000000E4,1.593514448E0
2.177343750E4,2.176575522E0
2.179687500E4,4.492128528E0
2.182031250E4,3.809200479E0
2.184375000E4,4.782103169E0
2.186718750E4,5.930125585E0
2.189062500E4,2.957092720E0
2.191406250E4,4.268423300E0
2.193750000E4,2.436436457E0
2.196093750E4,2.559207437E0
2.198437500E4,4.835461192E0
2.200781250E4,3.606185858E0
2.203125000E4,3.083766158E0
2.205468750E4,4.651644644E0
2.207812500E4,6.575944139E0
2.210156250E4,4.330198460E-1
2.212500000E4,4.444383281E0
2.214843750E4,5.852366653E0
2.217187500E4,2.509930471E0
2.219531250E4,2.653641507E0
2.221875000E4,1.505288601E0
2.224218750E4,2.444452412E0
2.226562500E4,1.035939384E0
2.228906250E4,2.774782959E0
2.231250000E4,4.419165424E0
2.233593750E4,3.243648744E0
2.235937500E4,3.638665839E0
2.238281250E4,6.064857064E-2
2.240625000E4,2.556041263E0
2.242968750E4,2.825423669E0
2.245312500E4,4.925512163E0
2.247656250E4,3.733453349E0
2.250000000E4,3.428891829E0
2.252343750E4,1.653358263E0
2.254687500E4,2.947908149E0
2.257031250E4,7.160360594E-1
2.259375000E4,3.113588841E0
2.261718750E4,5.853310922E0
2.264062500E4,3.483020699E0
2.266406250E4,1.358079011E0
2.268750000E4,1.922922181E0
2.271093750E4,3.608818198E-1
2.273437500E4,5.255641326E0
2.275781250E4,4.746712569E0
2.278125000E4,3.593370789E0
2.280468750E4,1.612871225E0
2.282812500E4,2.828790783E0
2.285156250E4,4.495143919E0
2.287500000E4,4.414495316E0
2.289843750E4,2.870417505E0
2.292187500E4,1.746822106E0
2.294531250E4,4.975109844E0
2.296875000E4,3.454896032E0
2.299218750E4,3.062926239E0
2.301562500E4,1.557599567E0
2.303906250E4,3.904714684E0
2.306250000E4,3.002226725E0
2.308593750E4,5.511724546E0
2.310937500E4,4.391758668E0
2.313281250E4,4.208661625E0
2.315625000E4,3.049144240E0
2.317968750E4,4.401943139E0
2.320312500E4,1.471124193E0
2.322656250E4,2.195033352E0
2.325000000E4,3.819244441E0
2.327343750E4,5.424904274E0
2.329687500E4,1.654092953E0
2.332031250E4,2.819604853E0
2.334375000E4,1.189510526E0
2.336718750E4,1.612676356E0
2.339062500E4,1.232942137E0
2.341406250E4,1.804519400E0
2.343750000E4,5.430774232E-1
2.346093750E4,5.279723331E-1
2.348437500E4,2.300383657E0
2.350781250E4,4.512029096E-1
2.353125000E4,3.507977662E0
2.355468750E4,2.463296181E0
2.357812500E4,3.352972253E0
2.360156250E4,2.219708435E0
2.362500000E4,3.701342751E0
2.364843750E4,1.631525396E0
2.367187500E4,2.774636840E0
2.369531250E4,5.953965954E0
2.371875000E4,3.260235246E0
2.374218750E4,9.713046612E-1
2.376562500E4,5.800747916E0
2.378906250E4,3.930500535E-1
2.381250000E4,3.004332423E0
2.383593750E4,2.785529047E0
2.385937500E4,1.479144519E0
2.388281250E4,2.574943372E0
2.390625000E4,1.873843031E0
2.392968750E4,1.390557612E0
2.395312500E4,2.701461168E0
2.397656250E4,3.073669539E0
