"Frequency (Hz)","Absolute Amplitude (a.u.)"
1.197656250E4,5.267249149E0
1.200000000E4,4.585603272E0
1.202343750E4,6.903488543E0
1.204687500E4,9.639961672E0
1.207031250E4,7.004803319E0
1.209375000E4,5.366897857E0
1.211718750E4,8.279497046E0
1.214062500E4,1.342881446E1
1.216406250E4,3.325359740E0
1.218750000E4,3.093627218E0
1.221093750E4,6.026336631E0
1.223437500E4,3.754295414E0
1.225781250E4,4.560629024E0
1.228125000E4,7.707320491E0
1.230468750E4,9.941704726E0
1.232812500E4,7.199652086E0
1.235156250E4,1.032368698E1
1.237500000E4,9.444316218E0
1.239843750E4,1.698452383E0
1.242187500E4,5.386533157E0
1.244531250E4,5.996087415E0
1.246875000E4,9.873763699E0
1.249218750E4,7.522047883E0
1.251562500E4,9.661961140E0
1.253906250E4,7.353316376E0
1.256250000E4,1.036842542E1
1.258593750E4,6.899950643E0
1.260937500E4,1.281057585E1
1.263281250E4,8.595955308E0
1.265625000E4,3.404140457E0
1.267968750E4,1.467841016E1
1.270312500E4,1.895561128E1
1.272656250E4,3.952281040E0
1.275000000E4,4.617671777E0
1.277343750E4,1.211122612E1
1.279687500E4,5.850323294E0
1.282031250E4,1.334169766E1
1.284375000E4,2.601221624E0
1.286718750E4,7.463230043E0
1.289062500E4,1.086583715E1
1.291406250E4,9.538906642E0
1.293750000E4,1.029579228E1
1.296093750E4,6.854209266E0
1.298437500E4,6.001525206E0
1.300781250E4,2.248214113E0
1.303125000E4,1.278464176E1
1.305468750E4,6.299506102E0
1.307812500E4,4.918465466E0
1.310156250E4,7.210578460E0
1.312500000E4,1.138722715E1
1.314843750E4,1.587704850E1
1.317187500E4,3.871369343E0
1.319531250E4,9.052877258E0
1.321875000E4,9.541080906E0
1.324218750E4,4.815395225E0
1.326562500E4,9.612713033E0
1.328906250E4,2.941045931E0
1.331250000E4,7.174592385E0
1.333593750E4,6.225144228E0
1.335937500E4,5.411354404E0
1.338281250E4,1.462466955E0
1.340625000E4,6.337918112E0
1.342968750E4,7.290865778E0
1.345312500E4,5.130597105E0
1.347656250E4,1.169131459E1
1.350000000E4,4.687541430E0
1.352343750E4,9.165153024E0
1.354687500E4,1.959958165E1
1.357031250E4,1.214156803E1
1.359375000E4,2.680827035E1
1.361718750E4,5.639204334E0
1.364062500E4,3.271583848E0
1.366406250E4,5.659350745E0
1.368750000E4,9.309455664E0
1.371093750E4,4.109223923E0
1.373437500E4,2.297692418E0
1.375781250E4,3.043671892E0
1.378125000E4,1.948525587E1
1.380468750E4,5.025354932E0
1.382812500E4,7.982942436E0
1.385156250E4,2.293983569E0
1.387500000E4,3.129590354E0
1.389843750E4,7.607389879E0
1.392187500E4,4.460890067E0
1.394531250E4,7.519253996E0
1.396875000E4,6.008540811E0
1.399218750E4,7.100968203E0
1.401562500E4,5.360248810E0
1.403906250E4,2.693406813E0
1.406250000E4,8.166885626E0
1.408593750E4,4.606591534E0
1.410937500E4,8.549583712E0
1.413281250E4,4.160729799E0
1.415625000E4,3.957822490E0
1.417968750E4,2.836244282E0
1.420312500E4,9.124931419E0
1.422656250E4,2.963582968E-1
1.425000000E4,9.509632182E0
1.427343750E4,6.958455748E0
1.429687500E4,1.215242203E1
1.432031250E4,8.084632948E0
1.434375000E4,3.052138131E0
1.436718750E4,8.583985241E0
1.439062500E4,7.312905333E0
1.441406250E4,4.012128204E0
1.443750000E4,4.050617087E0
1.446093750E4,1.788195600E1
1.448437500E4,5.559945424E0
1.450781250E4,6.975122578E0
1.453125000E4,3.496596278E0
1.455468750E4,1.479753086E0
1.457812500E4,6.066927989E0
1.460156250E4,3.010304382E0
1.462500000E4,1.227309602E1
1.464843750E4,8.532441323E0
1.467187500E4,7.397252571E0
1.469531250E4,1.819621707E0
1.471875000E4,2.810430818E0
1.474218750E4,1.560019068E0
1.476562500E4,8.321867330E0
