"Frequenz (Hz)","Zeit (s)","FFT Mag (arb. unit)"
4.734375000E3,5.182058511E0,1.685481981E1
4.757812500E3,5.182058511E0,6.335718965E0
4.781250000E3,5.182058511E0,1.389547320E1
4.804687500E3,5.182058511E0,3.374638312E0
4.828125000E3,5.182058511E0,1.013997718E1
4.851562500E3,5.182058511E0,6.491093411E0
4.875000000E3,5.182058511E0,8.068262816E0
4.898437500E3,5.182058511E0,9.067192848E0
4.921875000E3,5.182058511E0,3.600118195E0
4.945312500E3,5.182058511E0,5.418087704E0
4.968750000E3,5.182058511E0,5.504516101E0
4.992187500E3,5.182058511E0,3.656566843E0
5.015625000E3,5.182058511E0,9.994834444E0
5.039062500E3,5.182058511E0,2.090944011E0
5.062500000E3,5.182058511E0,1.871002036E0
5.085937500E3,5.182058511E0,1.996714801E0
5.109375000E3,5.182058511E0,3.143009489E0
5.132812500E3,5.182058511E0,1.537991031E0
5.156250000E3,5.182058511E0,1.145714408E0
5.179687500E3,5.182058511E0,3.173270182E0
5.203125000E3,5.182058511E0,5.079936457E0
5.226562500E3,5.182058511E0,4.624237469E0
5.250000000E3,5.182058511E0,1.746728769E0
5.273437500E3,5.182058511E0,2.146303213E0
5.296875000E3,5.182058511E0,4.372373497E0
5.320312500E3,5.182058511E0,3.941432278E0
5.343750000E3,5.182058511E0,1.841591764E0
5.367187500E3,5.182058511E0,2.092835251E0
5.390625000E3,5.182058511E0,4.944306675E0
5.414062500E3,5.182058511E0,1.307312618E0
5.437500000E3,5.182058511E0,5.347454524E0
5.460937500E3,5.182058511E0,2.722712650E0
5.484375000E3,5.182058511E0,1.871321931E0
5.507812500E3,5.182058511E0,2.743771732E0
5.531250000E3,5.182058511E0,6.262515254E0
5.554687500E3,5.182058511E0,3.051117118E0
5.578125000E3,5.182058511E0,2.163721595E0
5.601562500E3,5.182058511E0,2.001316657E0
5.625000000E3,5.182058511E0,9.511318848E-1
5.648437500E3,5.182058511E0,2.988417395E0
5.671875000E3,5.182058511E0,4.372244484E-1
5.695312500E3,5.182058511E0,1.538488493E0
5.718750000E3,5.182058511E0,1.297438183E0
5.742187500E3,5.182058511E0,6.287275213E0
5.765625000E3,5.182058511E0,7.546045609E-1
5.789062500E3,5.182058511E0,2.245104661E0
5.812500000E3,5.182058511E0,4.890261167E0
5.835937500E3,5.182058511E0,2.405875486E0
5.859375000E3,5.182058511E0,6.995312572E-1
5.882812500E3,5.182058511E0,1.873180471E0
5.906250000E3,5.182058511E0,1.491431279E0
5.929687500E3,5.182058511E0,6.026368131E-1
5.953125000E3,5.182058511E0,2.671522979E0
5.976562500E3,5.182058511E0,1.868600554E0
6.000000000E3,5.182058511E0,3.226004053E0
2.343750000E1,5.224725177E0,2.852573043E-1
4.687500000E1,5.224725177E0,3.085474100E-1
7.031250000E1,5.224725177E0,7.620325689E-1
9.375000000E1,5.224725177E0,7.381514602E-1
1.171875000E2,5.224725177E0,6.195469573E-1
1.406250000E2,5.224725177E0,4.020137949E-1
1.640625000E2,5.224725177E0,8.459019823E-1
1.875000000E2,5.224725177E0,1.077830679E0
2.109375000E2,5.224725177E0,1.084499503E0
2.343750000E2,5.224725177E0,1.638322354E0
2.578125000E2,5.224725177E0,2.491706744E0
2.812500000E2,5.224725177E0,1.286765164E0
3.046875000E2,5.224725177E0,7.613914152E-1
3.281250000E2,5.224725177E0,1.351154267E0
3.515625000E2,5.224725177E0,9.586442897E-1
3.750000000E2,5.224725177E0,5.053697531E-1
3.984375000E2,5.224725177E0,1.497221570E0
4.218750000E2,5.224725177E0,7.270815678E-1
4.453125000E2,5.224725177E0,1.372942860E0
4.687500000E2,5.224725177E0,3.616543020E0
4.921875000E2,5.224725177E0,1.167912104E0
5.156250000E2,5.224725177E0,1.969192708E0
5.390625000E2,5.224725177E0,1.812118351E-1
5.625000000E2,5.224725177E0,2.664599363E-1
5.859375000E2,5.224725177E0,7.545424021E-1
6.093750000E2,5.224725177E0,1.256257810E0
6.328125000E2,5.224725177E0,1.511155334E0
6.562500000E2,5.224725177E0,1.290061438E0
6.796875000E2,5.224725177E0,9.906237887E-1
7.031250000E2,5.224725177E0,5.402588334E-1
7.265625000E2,5.224725177E0,1.331753202E0
7.500000000E2,5.224725177E0,3.124219931E-1
7.734375000E2,5.224725177E0,5.692455831E-1
7.968750000E2,5.224725177E0,1.499888528E0
8.203125000E2,5.224725177E0,1.678967595E0
8.437500000E2,5.224725177E0,2.715388117E0
8.671875000E2,5.224725177E0,3.284320057E0
8.906250000E2,5.224725177E0,1.180914802E0
9.140625000E2,5.224725177E0,4.627323377E0
9.375000000E2,5.224725177E0,4.662459241E-1
9.609375000E2,5.224725177E0,1.189588590E0
9.843750000E2,5.224725177E0,1.239356090E0
1.007812500E3,5.224725177E0,5.223124936E0
1.031250000E3,5.224725177E0,3.412777675E0
1.054687500E3,5.224725177E0,3.527241915E0
1.078125000E3,5.224725177E0,2.730813781E0
1.101562500E3,5.224725177E0,1.698008209E0
1.125000000E3,5.224725177E0,2.495810487E0
1.148437500E3,5.224725177E0,5.064855730E-1
1.171875000E3,5.224725177E0,1.399597167E0
1.195312500E3,5.224725177E0,8.237593156E-1
1.218750000E3,5.224725177E0,4.240948569E0
1.242187500E3,5.224725177E0,1.954542558E0
1.265625000E3,5.224725177E0,4.705705637E-1
1.289062500E3,5.224725177E0,3.208745751E0
1.312500000E3,5.224725177E0,1.070423730E0
1.335937500E3,5.224725177E0,1.773597318E-1
1.359375000E3,5.224725177E0,6.232138624E-1
1.382812500E3,5.224725177E0,4.140982785E-1
1.406250000E3,5.224725177E0,2.938409037E-1
1.429687500E3,5.224725177E0,1.098922203E0
